SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1.0,0.327420547,41.0,0.0,0.435112977,5000.0,4.0,0.0,1.0,0.0,0.0
1.0,0.402867038,43.0,5.0,0.494407159,14750.0,36.0,1.0,2.0,0.0,0.0
1.0,1.016348774,30.0,0.0,513.0,3.0,7.0,0.0,0.0,0.0,0.0
1.0,0.513036659,31.0,0.0,0.153612629,3293.0,4.0,0.0,0.0,0.0,1.0
1.0,0.953092031,40.0,0.0,0.289971884,5334.0,3.0,0.0,1.0,0.0,3.0
1.0,0.074496275,67.0,0.0,0.168041598,20000.0,5.0,0.0,1.0,0.0,0.0
1.0,0.607163919,54.0,1.0,1.162931907,6916.0,13.0,0.0,4.0,0.0,0.0
1.0,0.1051836,50.0,0.0,0.365850732,8333.0,7.0,0.0,2.0,0.0,2.0
1.0,0.16485315,62.0,0.0,0.27517798600000004,12500.0,8.0,0.0,3.0,0.0,1.0
1.0,0.012600792,44.0,0.0,1.219945014,4000.0,10.0,0.0,3.0,0.0,3.0
1.0,0.5433405379999999,47.0,0.0,0.149738696,4400.0,11.0,0.0,0.0,0.0,2.0
1.0,0.000459991,66.0,0.0,0.182492806,6602.0,5.0,0.0,1.0,0.0,0.0
0.0,0.893687708,44.0,0.0,1340.0,1.0,5.0,1.0,0.0,0.0,2.0
1.0,0.36364329,32.0,0.0,0.419941675,7200.0,9.0,0.0,1.0,0.0,3.0
1.0,0.053323983,61.0,0.0,0.221923398,10782.0,11.0,0.0,3.0,0.0,0.0
1.0,0.20794187600000005,63.0,2.0,0.313303063,10350.0,24.0,0.0,2.0,0.0,0.0
1.0,0.01507599,33.0,0.0,0.39228252,7333.0,15.0,0.0,2.0,0.0,0.0
1.0,0.38584299,67.0,0.0,0.381642512,2690.0,12.0,0.0,0.0,0.0,0.0
1.0,1.001885091,56.0,0.0,0.290053784,13200.0,9.0,0.0,2.0,0.0,2.0
1.0,0.052356872,50.0,0.0,0.419831224,7583.0,16.0,0.0,3.0,0.0,2.0
1.0,0.160080946,76.0,0.0,0.449925012,6000.0,15.0,0.0,2.0,0.0,1.0
1.0,0.049442122000000005,51.0,0.0,0.208496221,3836.0,9.0,0.0,0.0,0.0,2.0
1.0,0.110330471,33.0,0.0,0.58782095,4400.0,10.0,0.0,2.0,0.0,0.0
1.0,0.428416999,53.0,0.0,0.190057853,4666.0,6.0,0.0,1.0,0.0,0.0
1.0,0.0,29.0,0.0,0.193935355,3000.0,7.0,0.0,0.0,0.0,0.0
1.0,0.254256291,91.0,2.0,0.519274036,6666.0,18.0,0.0,0.0,0.0,0.0
1.0,0.0,42.0,0.0,0.227238638,6666.0,7.0,0.0,1.0,0.0,0.0
1.0,0.019420597,84.0,0.0,18.0,3609.0,4.0,0.0,0.0,0.0,0.0
1.0,0.306556073,29.0,0.0,0.684298209,2400.0,4.0,0.0,1.0,0.0,0.0
1.0,0.039691267,39.0,0.0,0.126658223,15000.0,11.0,0.0,1.0,0.0,2.0
1.0,0.029812037000000007,93.0,0.0,32.0,3521.0,11.0,0.0,0.0,0.0,0.0
1.0,0.050089998,60.0,0.0,0.556485356,6213.0,10.0,0.0,2.0,0.0,0.0
0.0,0.52710085,50.0,3.0,0.467539553,5498.0,15.0,1.0,1.0,1.0,1.0
1.0,0.022767654,62.0,0.0,16.0,2667.0,2.0,0.0,0.0,0.0,0.0
1.0,0.110428093,54.0,0.0,0.209685782,9642.0,12.0,0.0,1.0,0.0,3.0
1.0,0.125638518,67.0,0.0,34.0,276.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,41.0,0.0,0.288835507,8741.0,7.0,0.0,1.0,0.0,2.0
0.0,0.315786384,48.0,2.0,0.504326091,5200.0,12.0,1.0,1.0,1.0,2.0
0.0,0.92094682,30.0,0.0,0.61770428,3083.0,10.0,0.0,0.0,0.0,0.0
1.0,0.4856455220000001,41.0,0.0,0.368280326,7105.0,8.0,0.0,1.0,0.0,3.0
1.0,1.056628914,50.0,0.0,0.115769107,3100.0,3.0,0.0,0.0,0.0,1.0
1.0,0.040605643,63.0,0.0,0.17381941199999998,6500.0,7.0,0.0,1.0,0.0,0.0
1.0,0.287578991,56.0,0.0,0.304200614,9450.0,19.0,0.0,2.0,0.0,0.0
1.0,0.761768902,29.0,0.0,0.149712572,4000.0,3.0,0.0,0.0,0.0,2.0
1.0,0.251182647,47.0,1.0,0.22042706,10583.0,7.0,0.0,1.0,0.0,1.0
1.0,0.012345678999999998,90.0,0.0,10.0,4377.0,7.0,0.0,0.0,0.0,0.0
1.0,0.181347045,54.0,0.0,1.2015,5999.0,17.0,0.0,5.0,0.0,1.0
1.0,0.253127152,56.0,0.0,0.12287017,12500.0,16.0,0.0,1.0,0.0,1.0
1.0,0.284724285,32.0,0.0,0.408409291,3400.0,8.0,0.0,1.0,0.0,0.0
1.0,0.100334127,53.0,0.0,0.021056206,5888.0,4.0,0.0,0.0,0.0,2.0
1.0,0.447988513,32.0,1.0,0.099800036,5500.0,7.0,0.0,0.0,0.0,0.0
1.0,0.304192395,70.0,0.0,0.153538585,2500.0,2.0,0.0,0.0,0.0,0.0
1.0,0.433079636,69.0,2.0,1.6979246730000002,1300.0,11.0,0.0,3.0,1.0,0.0
1.0,0.145309493,48.0,0.0,0.131722483,18333.0,35.0,0.0,1.0,1.0,0.0
1.0,0.101859639,56.0,0.0,0.542521994,3750.0,5.0,0.0,1.0,0.0,0.0
1.0,0.155779428,64.0,0.0,0.8182971529999999,7093.0,17.0,0.0,2.0,0.0,0.0
1.0,0.17003233199999998,52.0,0.0,0.452603792,12500.0,11.0,0.0,2.0,1.0,1.0
1.0,0.045186088,53.0,0.0,60.0,587.0,8.0,0.0,0.0,0.0,1.0
1.0,0.061539803,68.0,0.0,0.064103988,9000.0,14.0,0.0,0.0,0.0,1.0
1.0,0.169216922,41.0,0.0,0.107969152,4278.0,20.0,0.0,0.0,0.0,0.0
1.0,0.083994864,35.0,0.0,0.339417645,2300.0,8.0,0.0,1.0,0.0,1.0
1.0,0.019765504,37.0,1.0,0.235550709,2750.0,11.0,1.0,1.0,0.0,0.0
1.0,0.136350755,55.0,0.0,206.0,52.0,6.0,0.0,0.0,0.0,0.0
1.0,0.044604412,51.0,0.0,0.233369684,2750.0,9.0,0.0,0.0,0.0,2.0
1.0,0.065724285,45.0,0.0,0.025589764,2500.0,3.0,0.0,0.0,0.0,1.0
1.0,0.3654948670000001,27.0,0.0,0.342220529,5250.0,11.0,0.0,1.0,0.0,0.0
0.0,1.115537849,66.0,0.0,0.195248249,3282.0,2.0,0.0,0.0,2.0,1.0
1.0,0.044192916,56.0,0.0,0.290541892,5000.0,10.0,0.0,2.0,0.0,0.0
1.0,0.360523979,51.0,0.0,0.251704129,17750.0,13.0,0.0,2.0,0.0,0.0
1.0,0.974156431,57.0,0.0,1.003827507,3918.0,11.0,0.0,1.0,0.0,0.0
1.0,0.0,62.0,0.0,0.131519274,5291.0,6.0,0.0,1.0,0.0,0.0
1.0,0.859851212,39.0,0.0,0.265340275,5377.0,11.0,0.0,1.0,0.0,1.0
1.0,0.311172207,56.0,0.0,0.214447464,4415.0,4.0,0.0,2.0,0.0,0.0
1.0,0.045120117,30.0,0.0,0.043037623,7202.0,3.0,0.0,1.0,0.0,0.0
1.0,0.70212023,55.0,1.0,0.349432476,8633.0,21.0,0.0,1.0,0.0,1.0
1.0,0.0,45.0,0.0,0.191391238,1300.0,7.0,0.0,0.0,0.0,2.0
1.0,0.414410573,32.0,0.0,1.22840691,520.0,6.0,0.0,0.0,0.0,0.0
1.0,0.0,34.0,0.0,0.221748401,4220.0,2.0,0.0,1.0,0.0,0.0
1.0,0.391524476,67.0,0.0,0.60940919,8225.0,14.0,0.0,2.0,0.0,0.0
1.0,0.9999999,41.0,0.0,0.03511236,4983.0,1.0,1.0,0.0,0.0,1.0
1.0,0.06305136900000001,49.0,0.0,0.5395297170000001,5400.0,11.0,0.0,1.0,0.0,1.0
1.0,0.218476904,24.0,0.0,5.0,2109.0,1.0,0.0,0.0,0.0,0.0
1.0,0.271251062,44.0,0.0,0.075259044,5500.0,6.0,0.0,0.0,0.0,0.0
1.0,0.9999999,51.0,0.0,0.6961130740000001,5093.0,7.0,0.0,2.0,0.0,0.0
1.0,0.056897155,58.0,1.0,0.216692023,4600.0,12.0,0.0,1.0,0.0,0.0
0.0,0.513466551,32.0,0.0,0.028048598,6666.0,7.0,1.0,0.0,0.0,1.0
1.0,0.124281162,55.0,0.0,0.320744558,13000.0,4.0,0.0,2.0,0.0,2.0
1.0,0.009714462,63.0,0.0,0.022279349,3500.0,22.0,0.0,0.0,0.0,1.0
1.0,0.003607772,60.0,0.0,0.000887682,19150.0,2.0,0.0,0.0,0.0,0.0
1.0,0.9999999,60.0,0.0,0.0,2500.0,1.0,1.0,0.0,1.0,0.0
1.0,0.04019068,61.0,0.0,0.258177199,3148.0,3.0,0.0,1.0,0.0,0.0
1.0,0.002227106,55.0,0.0,0.39437658,9495.0,10.0,0.0,1.0,0.0,0.0
1.0,0.16182791,29.0,0.0,0.383652718,2556.0,8.0,0.0,2.0,0.0,0.0
1.0,0.119460647,34.0,0.0,0.32224953,6916.0,5.0,0.0,1.0,0.0,0.0
1.0,0.369919374,49.0,0.0,0.146975504,6000.0,4.0,0.0,0.0,0.0,0.0
1.0,0.290157743,29.0,1.0,0.009665428,4034.0,3.0,0.0,0.0,2.0,0.0
1.0,0.300269515,50.0,0.0,0.079919409,4466.0,2.0,0.0,0.0,0.0,3.0
1.0,0.116444144,42.0,0.0,0.131081982,4500.0,4.0,0.0,0.0,0.0,2.0
1.0,0.122517639,33.0,0.0,2.268135904,1088.0,4.0,0.0,1.0,0.0,0.0
1.0,0.013695152,77.0,0.0,0.26636753,4902.0,14.0,0.0,2.0,0.0,1.0
1.0,0.155958071,43.0,0.0,0.293288934,3903.0,20.0,0.0,2.0,0.0,1.0
1.0,0.357130018,57.0,0.0,0.355284775,14607.0,14.0,0.0,5.0,0.0,2.0
1.0,0.424738689,66.0,3.0,2.886965231,6988.0,19.0,0.0,1.0,0.0,0.0
1.0,0.432494648,50.0,0.0,0.366422063,12400.0,11.0,0.0,1.0,0.0,1.0
1.0,0.363996198,62.0,0.0,0.122809081,8500.0,16.0,0.0,0.0,0.0,0.0
1.0,0.361435813,85.0,0.0,0.13888888900000002,5291.0,6.0,0.0,1.0,0.0,0.0
1.0,0.001041612,45.0,0.0,0.5165933629999999,2500.0,9.0,0.0,1.0,0.0,3.0
1.0,0.0,57.0,0.0,1.17075386,1100.0,5.0,0.0,2.0,0.0,4.0
1.0,0.162107774,47.0,0.0,0.448405896,8750.0,6.0,0.0,2.0,0.0,0.0
1.0,0.31315098,60.0,0.0,0.259307219,9266.0,8.0,0.0,2.0,0.0,1.0
1.0,0.46958012,32.0,0.0,0.047001052,2850.0,9.0,0.0,0.0,0.0,0.0
1.0,0.057287378,78.0,0.0,0.14370509199999998,3200.0,2.0,0.0,1.0,0.0,0.0
1.0,0.039390619,47.0,1.0,0.005955026,11250.0,5.0,0.0,0.0,0.0,0.0
1.0,0.9999999,45.0,0.0,0.238033129,7666.0,3.0,0.0,1.0,0.0,3.0
1.0,0.004627258,72.0,0.0,0.259091671,5966.0,8.0,0.0,1.0,0.0,1.0
1.0,0.87790407,33.0,0.0,0.3622964870000001,5834.0,8.0,0.0,1.0,0.0,1.0
1.0,0.000267426,50.0,0.0,0.397770219,5291.0,8.0,0.0,1.0,0.0,0.0
1.0,0.4858934170000001,28.0,2.0,0.203118752,2500.0,5.0,0.0,0.0,1.0,2.0
1.0,0.009804028,74.0,0.0,0.014267185,3083.0,15.0,0.0,0.0,0.0,0.0
1.0,0.051704175,70.0,0.0,0.183534509,3230.0,11.0,0.0,2.0,0.0,0.0
1.0,0.11105397,56.0,0.0,0.075578239,9208.0,10.0,0.0,0.0,0.0,0.0
1.0,0.655908664,45.0,1.0,0.415420179,7353.0,10.0,0.0,1.0,0.0,1.0
1.0,0.66945704,38.0,1.0,0.327002477,3632.0,5.0,0.0,0.0,0.0,2.0
0.0,0.965617805,45.0,3.0,0.550345224,3475.0,4.0,1.0,1.0,2.0,0.0
1.0,0.019455253,65.0,0.0,0.00259948,5000.0,4.0,0.0,0.0,0.0,0.0
1.0,0.100551375,63.0,0.0,0.203275652,23750.0,14.0,0.0,2.0,0.0,1.0
1.0,0.008061996,47.0,1.0,815.0,0.0,4.0,0.0,1.0,0.0,0.0
1.0,0.015242145,42.0,0.0,0.004666045,7500.0,6.0,0.0,0.0,0.0,1.0
1.0,0.041488692,63.0,0.0,0.020584795,12824.0,8.0,0.0,1.0,0.0,0.0
1.0,0.043410328,70.0,0.0,0.213793103,1884.0,5.0,0.0,0.0,0.0,0.0
1.0,0.110928126,69.0,0.0,0.030277064,3500.0,2.0,0.0,0.0,0.0,0.0
1.0,0.048090096,66.0,0.0,0.20212275,4333.0,7.0,0.0,1.0,0.0,0.0
1.0,0.161297318,42.0,0.0,0.27287685100000003,7900.0,7.0,0.0,1.0,0.0,2.0
1.0,0.894521336,59.0,0.0,0.62237034,4800.0,8.0,0.0,1.0,0.0,0.0
1.0,0.152166509,61.0,0.0,1.038785328,3325.0,13.0,0.0,2.0,0.0,0.0
1.0,0.081304056,51.0,0.0,0.41640437,5400.0,12.0,0.0,1.0,0.0,3.0
1.0,0.011410346000000002,53.0,0.0,215.0,127.0,19.0,0.0,0.0,0.0,1.0
1.0,0.0,64.0,0.0,0.0,4305.0,1.0,0.0,0.0,0.0,0.0
1.0,0.95045724,31.0,0.0,0.439808779,2300.0,6.0,0.0,0.0,0.0,0.0
1.0,0.046796256,77.0,0.0,0.002756608,6166.0,4.0,0.0,0.0,0.0,0.0
1.0,0.0,62.0,1.0,0.588620251,5500.0,10.0,0.0,1.0,0.0,0.0
1.0,0.30886911300000003,53.0,0.0,0.761412862,3000.0,4.0,0.0,1.0,0.0,1.0
1.0,0.8037420559999999,68.0,0.0,0.319493382,10500.0,11.0,0.0,1.0,0.0,0.0
1.0,0.710728927,33.0,2.0,0.358390555,8300.0,10.0,0.0,1.0,1.0,2.0
1.0,0.9999999,63.0,0.0,0.90904915,2176.0,2.0,0.0,1.0,0.0,0.0
1.0,0.205598982,55.0,0.0,0.743954481,1405.0,5.0,0.0,0.0,0.0,0.0
1.0,0.08711252300000001,43.0,0.0,0.356115601,7300.0,3.0,0.0,1.0,0.0,1.0
1.0,0.031109959,65.0,0.0,0.004674718,5133.0,4.0,0.0,0.0,0.0,0.0
